LarvaID;Diet;Dose;FoodWeighing
1;Poor;1/4;No
2;Poor;1/4;No
3;Poor;1/4;No
4;Poor;1/4;No
5;Poor;1/4;No
6;Good;1/16;Yes
7;Good;1/16;Yes
8;Good;1/16;Yes
9;Good;1/16;Yes
10;Good;1/16;Yes
11;Poor;1/64;No
12;Poor;1/64;No
13;Poor;1/64;No
14;Poor;1/64;No
15;Poor;1/64;No
16;Good;Control;Yes
17;Good;Control;Yes
18;Good;Control;Yes
19;Good;Control;Yes
20;Good;Control;Yes
21;Good;1/4;No
22;Good;1/4;No
23;Good;1/4;No
24;Good;1/4;No
25;Good;1/4;No
26;Poor;1;Yes
27;Poor;1;Yes
28;Poor;1;Yes
29;Poor;1;Yes
30;Poor;1;Yes
31;Poor;1/16;Yes
32;Poor;1/16;Yes
33;Poor;1/16;Yes
34;Poor;1/16;Yes
35;Poor;1/16;Yes
36;Poor;Control;Yes
37;Poor;Control;Yes
38;Poor;Control;Yes
39;Poor;Control;Yes
40;Poor;Control;Yes
41;Good;1;Yes
42;Good;1;Yes
43;Good;1;Yes
44;Good;1;Yes
45;Good;1;Yes
46;Good;1/64;No
47;Good;1/64;No
48;Good;1/64;No
49;Good;1/64;No
50;Good;1/64;No
51;Poor;1/16;Yes
52;Poor;1/16;Yes
53;Poor;1/16;Yes
54;Poor;1/16;Yes
55;Poor;1/16;Yes
56;Poor;1;Yes
57;Poor;1;Yes
58;Poor;1;Yes
59;Poor;1;Yes
60;Poor;1;Yes
61;Good;Control;Yes
62;Good;Control;Yes
63;Good;Control;Yes
64;Good;Control;Yes
65;Good;Control;Yes
66;Good;1/64;No
67;Good;1/64;No
68;Good;1/64;No
69;Good;1/64;No
70;Good;1/64;No
71;Poor;1/64;No
72;Poor;1/64;No
73;Poor;1/64;No
74;Poor;1/64;No
75;Poor;1/64;No
76;Poor;Control;Yes
77;Poor;Control;Yes
78;Poor;Control;Yes
79;Poor;Control;Yes
80;Poor;Control;Yes
81;Good;1/4;No
82;Good;1/4;No
83;Good;1/4;No
84;Good;1/4;No
85;Good;1/4;No
86;Poor;1/4;No
87;Poor;1/4;No
88;Poor;1/4;No
89;Poor;1/4;No
90;Poor;1/4;No
91;Good;1/16;Yes
92;Good;1/16;Yes
93;Good;1/16;Yes
94;Good;1/16;Yes
95;Good;1/16;Yes
96;Good;1;Yes
97;Good;1;Yes
98;Good;1;Yes
99;Good;1;Yes
100;Good;1;Yes
